,gamemode,battletime,p1.name,p2.name,p1.crowns,p2.crowns,p1.card_1,p1.card_2,p1.card_3,p1.card_4,p1.card_5,p1.card_6,p1.card_7,p1.card_8,p2.card_1,p2.card_2,p2.card_3,p2.card_4,p2.card_5,p2.card_6,p2.card_7,p2.card_8
19,Ladder,20200514T185644.000Z,i am trash,醉红颜·流星虹,0,1,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Ice Golem,Skeletons,Golem,Baby Dragon,Lightning,Tornado,Ice Wizard,Barbarian Barrel,Bomb Tower,Night Witch
20,Ladder,20200514T184641.000Z,i am trash,~Sarcasm World~,2,1,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Ice Golem,Skeletons,Fireball,Balloon,Lava Hound,Minions,Mega Minion,Zap,Tombstone,Barbarians
21,Ladder,20200514T184150.000Z,i am trash,BennY,1,2,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Ice Golem,Skeletons,Bomber,Elixir Golem,Battle Healer,Night Witch,Magic Archer,Electro Dragon,Arrows,Tornado
22,Ladder,20200514T183737.000Z,i am trash,ANDERAND,0,1,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Ice Golem,Skeletons,Hunter,Heal Spirit,The Log,Earthquake,Musketeer,Royal Hogs,Bomb Tower,Valkyrie
0,Ladder,20200514T233956.000Z,KingInTheEast™,Johnny_37,0,1,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Ice Golem,Archers,Tesla,Fireball,Ice Spirit,Skeletons,X-Bow,The Log
1,Ladder,20200514T233624.000Z,KingInTheEast™,king_pablo,1,0,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Goblin Gang,Dark Prince,Rocket,Rascals,Bandit,Princess,Goblin Barrel,The Log
2,Ladder,20200514T233312.000Z,KingInTheEast™,Ttrain,0,1,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Ice Spirit,Rocket,Goblin Gang,Goblin Barrel,Inferno Tower,Knight,Princess,The Log
3,Ladder,20200514T232744.000Z,KingInTheEast™,ゆってぃ,1,0,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Golem,Lightning,Tornado,Barbarian Barrel,Baby Dragon,Mega Minion,Lumberjack,Night Witch
4,Ladder,20200514T232321.000Z,KingInTheEast™,NAS,0,1,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Goblin Gang,Prince,Zap,Skeleton Barrel,Miner,Mega Knight,Inferno Dragon,Bats
5,Ladder,20200514T231917.000Z,KingInTheEast™,Juan,1,0,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Executioner,Valkyrie,The Log,Tornado,Rocket,Hog Rider,Ice Spirit,Goblins
6,Ladder,20200514T231339.000Z,KingInTheEast™,Tyler Josh,1,0,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Arrows,Bats,Goblins,Poison,Balloon,Mega Knight,Inferno Dragon,Miner
7,Ladder,20200514T230954.000Z,KingInTheEast™,鋼の,1,0,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Elixir Golem,Night Witch,Inferno Dragon,Heal Spirit,Arrows,Battle Healer,Electro Dragon,Rage
8,Ladder,20200514T230612.000Z,KingInTheEast™,☯️M3GA♎️,0,1,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Giant,Mini P.E.K.K.A,Arrows,Giant Snowball,Graveyard,Musketeer,Bats,Skeleton Army
9,Ladder,20200514T230300.000Z,KingInTheEast™,Smosh,0,3,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Golem,Goblin Gang,Baby Dragon,Lightning,Tornado,Night Witch,Lumberjack,Mega Minion
10,Ladder,20200514T230024.000Z,KingInTheEast™,Yazan,0,1,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Fireball,Skeleton Army,Zap,Giant,Sparky,Minion Horde,Bandit,Electro Wizard
11,Ladder,20200514T225543.000Z,KingInTheEast™,PK I Frio,0,1,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Hog Rider,Spear Goblins,Knight,The Log,Bats,Royal Delivery,Earthquake,Bomb Tower
12,Ladder,20200514T225228.000Z,KingInTheEast™,Luckira,0,3,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Baby Dragon,Golem,Lumberjack,Arrows,Skeleton Army,Night Witch,Mini P.E.K.K.A,Bats
13,Ladder,20200514T224848.000Z,KingInTheEast™,˜”*°• GIO •°*”˜,1,0,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Rocket,Musketeer,Skeletons,Knight,Ice Spirit,X-Bow,Tesla,The Log
14,Ladder,20200514T224457.000Z,KingInTheEast™,シϻαϒαժժデビッド,0,1,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Bomb Tower,Miner,Arrows,Skeleton Barrel,Valkyrie,Skeletons,Magic Archer,Bats
15,Ladder,20200514T223854.000Z,KingInTheEast™,El Pastor,1,0,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Prince,Baby Dragon,Goblin Cage,Graveyard,Poison,Flying Machine,Barbarian Barrel,Royal Delivery
16,Ladder,20200514T223445.000Z,KingInTheEast™,nothing,1,0,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Bomb Tower,Skeletons,Knight,Goblin Barrel,Princess,Skeleton Barrel,The Log,Dart Goblin
17,Ladder,20200514T223052.000Z,KingInTheEast™,Raffi,0,1,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Zap,Dark Prince,Earthquake,Electro Wizard,Sparky,Goblin Giant,Minions,Mini P.E.K.K.A
18,Ladder,20200514T222529.000Z,KingInTheEast™,Ｐｒｏｘｙｙ™,0,0,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Giant Snowball,Bats,Skeleton Army,Musketeer,Mini P.E.K.K.A,Arrows,Graveyard,Giant
20,Ladder,20200514T044920.000Z,KingInTheEast™,⚡Ricardo⚡,1,0,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Musketeer,Tesla,Skeletons,Ice Spirit,Rocket,The Log,Knight,X-Bow
21,Ladder,20200514T044413.000Z,KingInTheEast™,Trainer Ronny♂️,1,0,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Spear Goblins,Goblin Gang,Fireball,Miner,Mortar,Rascals,Bats,The Log
22,Ladder,20200514T043924.000Z,KingInTheEast™,No Cilantro Plz,1,0,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Golem,Arrows,Lightning,Bomb Tower,Night Witch,Mega Minion,Baby Dragon,Guards
23,Ladder,20200514T043613.000Z,KingInTheEast™,Legendario G⚡,1,0,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Hog Rider,Minions,Barbarians,Ice Wizard,Sparky,Fireball,Zap,Fire Spirits
24,Ladder,20200514T043046.000Z,KingInTheEast™,彡OήeSh͢☢️t AlᎥ彡,0,3,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Golem,Night Witch,Baby Dragon,Mega Minion,Arrows,Mini P.E.K.K.A,Lightning,Bomber
1,Ladder,20200516T223141.000Z,lemonTree68,Tauron_E5150,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Giant Skeleton,Tornado,Zap,Balloon,Guards,Baby Dragon,Tesla,Miner
2,Ladder,20200516T222616.000Z,lemonTree68,キリッ｜Wiz master,0,1,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Wizard,Balloon,Lumberjack,Mega Minion,Rocket,Freeze,Ice Spirit,Skeletons
3,Ladder,20200516T215944.000Z,lemonTree68,⭐️♥️Moudji♥️⭐️,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Bomb Tower,Dart Goblin,Goblin Barrel,Knight,Princess,Skeleton Barrel,Skeletons,The Log
4,Ladder,20200516T215222.000Z,lemonTree68,Emix,0,1,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Giant,Musketeer,Mini P.E.K.K.A,Graveyard,Skeleton Army,Giant Snowball,Arrows,Bats
5,Ladder,20200516T214555.000Z,lemonTree68,SDC KENNEDY,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Giant,Mini P.E.K.K.A,Musketeer,Graveyard,Skeleton Army,Bats,Arrows,Giant Snowball
6,Ladder,20200516T213941.000Z,lemonTree68,☆V€NOM✌︎✌︎★彡,0,3,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Giant,Night Witch,Dark Prince,Graveyard,Skeleton Army,Giant Snowball,Arrows,Musketeer
7,Ladder,20200516T180232.000Z,lemonTree68,Dead!,0,1,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Heal Spirit,Earthquake,Skeletons,Ice Golem,Three Musketeers,Hunter,The Log,Royal Hogs
8,Ladder,20200516T172524.000Z,lemonTree68,RemiEli,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Valkyrie,Tornado,Miner,Wall Breakers,Bomb Tower,Rocket,Ice Wizard,Goblins
9,Ladder,20200516T162733.000Z,lemonTree68,CHN丨Makarious✨,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Mortar,Bats,Minion Horde,Fireball,Goblin Gang,Zap,Hog Rider,Spear Goblins
13,Ladder,20200516T040036.000Z,lemonTree68,Ar7hur,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,P.E.K.K.A,Battle Ram,Bandit,Royal Ghost,Magic Archer,Electro Wizard,Poison,Zap
14,Ladder,20200516T033416.000Z,lemonTree68,Andres Rc,2,1,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Lava Hound,Goblin Gang,Lightning,Arrows,Balloon,Skeleton Army,Minions,Inferno Dragon
15,Ladder,20200515T162357.000Z,lemonTree68,Prestige神,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,X-Bow,Fireball,Tesla,Archers,The Log,Ice Golem,Ice Spirit,Skeletons
16,Ladder,20200515T154257.000Z,lemonTree68,monkees,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Golem,Night Witch,Lumberjack,Lightning,Tornado,Mega Minion,Baby Dragon,Barbarian Barrel
17,Ladder,20200515T153122.000Z,lemonTree68,7427466391,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Knight,X-Bow,Skeletons,Fireball,Archers,Tesla,Ice Spirit,The Log
18,Ladder,20200515T152218.000Z,lemonTree68,Grimoire⚡️,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Spear Goblins,Royal Delivery,Cannon Cart,Mortar,Goblin Gang,Bats,Miner,The Log
19,Ladder,20200515T151037.000Z,lemonTree68,✓LuisAguilar✓™,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Ice Wizard,Bowler,Goblin Gang,Bats,Tornado,Dark Prince,Arrows,Graveyard
20,Ladder,20200515T125655.000Z,lemonTree68,xNatik,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Fireball,Skeletons,Elixir Collector,Knight,Tesla,The Log,X-Bow,Musketeer
21,Ladder,20200515T124635.000Z,lemonTree68,ヒロト,2,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Wall Breakers,Valkyrie,Magic Archer,Arrows,Miner,Goblins,Bats,Bomb Tower
22,Ladder,20200515T122605.000Z,lemonTree68,미더덕,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Tornado,Ice Wizard,Miner,Poison,Valkyrie,Rocket,The Log,Tesla
23,Ladder,20200515T120712.000Z,lemonTree68,⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫,0,1,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,The Log,Mini P.E.K.K.A,Bats,Poison,Giant Snowball,Miner,Ice Golem,Spear Goblins
0,Ladder,20200517T003042.000Z,Kevin⚡UwUr,Jaxon,0,1,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,X-Bow,The Log,Knight,Ice Wizard,Tornado,Skeletons,Rocket,Tesla
1,Ladder,20200517T002440.000Z,Kevin⚡UwUr,Ar7hur,1,0,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,P.E.K.K.A,Battle Ram,Bandit,Royal Ghost,Magic Archer,Electro Wizard,Poison,Zap
2,Ladder,20200517T002024.000Z,Kevin⚡UwUr,⚡️Bag⚡️™️,1,0,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Royal Hogs,Skeletons,Skeleton Barrel,Goblin Cage,Royal Delivery,Earthquake,Bats,Firecracker
3,Ladder,20200517T001142.000Z,Kevin⚡UwUr,TF ⚔️Bruno⚔️,1,0,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Balloon,Miner,Giant Snowball,Bomb Tower,Ice Golem,Skeletons,Musketeer,The Log
4,Ladder,20200517T000657.000Z,Kevin⚡UwUr,<OMEGA> WARRIOR,0,1,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Lava Hound,Bats,Arrows,Inferno Dragon,Miner,Zap,Skeleton Army,Balloon
5,Ladder,20200517T000215.000Z,Kevin⚡UwUr,Sergi_MC5,0,1,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,The Log,Tesla,Skeletons,Rocket,Ice Wizard,Tornado,Knight,X-Bow
7,Ladder,20200516T235536.000Z,Kevin⚡UwUr,︻デ═一 ▸☆Mario♠️♥,0,2,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Dark Prince,Goblin Giant,Minions,Zap,Mini P.E.K.K.A,Sparky,Rage,Musketeer
9,Ladder,20200516T234957.000Z,Kevin⚡UwUr,Memati,0,1,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Giant,Night Witch,Dark Prince,Graveyard,Skeleton Army,Giant Snowball,Arrows,Musketeer
10,Ladder,20200516T234422.000Z,Kevin⚡UwUr,Pomella™️ I 擦肉皮,2,0,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Heal Spirit,Electro Dragon,Battle Healer,Night Witch,Inferno Dragon,Elixir Golem,Rage,Arrows
11,Ladder,20200516T234027.000Z,Kevin⚡UwUr,Bad Bunny,1,0,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Goblin Barrel,The Log,Goblin Gang,Ice Spirit,Princess,Rocket,Inferno Tower,Knight
12,Ladder,20200516T233343.000Z,Kevin⚡UwUr,Nova I Itai ✨,0,1,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Royal Hogs,Heal Spirit,Hunter,Dark Prince,Goblin Cage,Earthquake,Magic Archer,Royal Delivery
13,Ladder,20200516T232739.000Z,Kevin⚡UwUr,Captain Insano,0,1,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log
14,Ladder,20200516T232152.000Z,Kevin⚡UwUr,AlvaroCR,0,1,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Miner,Bats,Giant Snowball,Knight,Poison,Spear Goblins,Bomb Tower,Skeleton Barrel
15,Ladder,20200516T231542.000Z,Kevin⚡UwUr,HARLEY QUINN.,1,0,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,P.E.K.K.A,Balloon,Lumberjack,Ice Wizard,Baby Dragon,Tornado,Freeze,Zap
16,Ladder,20200516T230745.000Z,Kevin⚡UwUr,SpikSara❤️,3,0,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,P.E.K.K.A,Electro Wizard,Bandit,Baby Dragon,Miner,Skeletons,Poison,Barbarian Barrel
18,Ladder,20200516T230332.000Z,Kevin⚡UwUr,Yuki™,0,1,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Musketeer,Skeletons,Tesla,Elixir Collector,The Log,Knight,X-Bow,Giant Snowball
19,Ladder,20200516T225919.000Z,Kevin⚡UwUr,Dayair,0,1,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Princess,Goblin Barrel,Spear Goblins,Giant Snowball,Cannon Cart,Bandit,Rocket,Rascals
24,Ladder,20200516T144438.000Z,Kevin⚡UwUr,Всегда Первый,1,0,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Ice Spirit,Rocket,Goblin Gang,Goblin Barrel,Inferno Tower,Knight,Princess,The Log
0,Ladder,20200517T005008.000Z,OBL,HashTag™,1,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Dark Prince,Ice Golem,Poison,Battle Ram,Lumberjack,Zap,Minions,Inferno Dragon
1,Ladder,20200517T004642.000Z,OBL,Great G,0,1,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Giant,Skeleton Army,Bowler,Night Witch,Bats,Arrows,Graveyard,Giant Snowball
2,Ladder,20200517T004313.000Z,OBL,KingSlayer,1,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Golem,Bomber,Mini P.E.K.K.A,Baby Dragon,Mega Minion,Night Witch,Tornado,Lightning
3,Ladder,20200517T003934.000Z,OBL,コーンスープ将軍,1,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Rascals,Prince,Goblin Barrel,Goblin Gang,Dart Goblin,Princess,Rocket,Giant Snowball
4,Ladder,20200517T003551.000Z,OBL,ONE Jerry™,0,1,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Giant Snowball,Earthquake,Goblin Cage,Royal Hogs,Bandit,Magic Archer,Electro Wizard,Mega Knight
5,Ladder,20200517T003223.000Z,OBL,ショウダイ,3,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Royal Delivery,Dark Prince,Goblin Cage,Graveyard,Poison,Musketeer,Mega Minion,Giant Snowball
6,Ladder,20200517T002851.000Z,OBL,KAZUAKI亜種,1,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,X-Bow,Rocket,Tesla,Tornado,The Log,Ice Wizard,Valkyrie,Skeletons
7,Ladder,20200517T002411.000Z,OBL,レバンドフスキ,0,1,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Mini P.E.K.K.A,Goblin Gang,Bats,Balloon,Giant Skeleton,Fire Spirits,Lumberjack,Zap
8,Ladder,20200517T002053.000Z,OBL,CAMARO,0,3,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Ice Golem,Bomb Tower,Giant Snowball,Skeletons,Balloon,Miner,Musketeer,The Log
9,Ladder,20200517T001739.000Z,OBL,NexoFighter,0,3,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Giant,Mini P.E.K.K.A,Musketeer,Graveyard,Zap,Mega Minion,Barbarians,Arrows
10,Ladder,20200517T001530.000Z,OBL,✨ＡＮＤＲＯＳ™✨,0,1,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Ice Wizard,Graveyard,Knight,Barbarian Barrel,Tornado,Poison,Bomb Tower,Baby Dragon
11,Ladder,20200517T001142.000Z,OBL,Airimofu、亚欧加,1,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Magic Archer,Electro Wizard,Zap,Poison,P.E.K.K.A,Battle Ram,Bandit,Royal Ghost
12,Ladder,20200517T000830.000Z,OBL,Francisco II,0,1,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Musketeer,Giant Snowball,Bomb Tower,Earthquake,Goblins,Knight,Hog Rider,The Log
13,Ladder,20200517T000342.000Z,OBL,Alemo,0,1,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Lava Hound,Balloon,Tombstone,Fireball,Mega Minion,Baby Dragon,Zap,Barbarians
14,Ladder,20200516T235936.000Z,OBL,$R-Shadow™,0,3,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Balloon,Bats,Bomb Tower,Giant Snowball,Ice Golem,Miner,Musketeer,Skeletons
15,Ladder,20200516T235736.000Z,OBL,Gils,1,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Prince,Ice Golem,Hunter,Royal Delivery,Musketeer,Earthquake,Freeze,Graveyard
17,Ladder,20200516T235007.000Z,OBL,C̴C̴L̴,1,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Miner,Bats,Skeletons,Ice Golem,Skeleton Barrel,The Log,Poison,Hunter
18,Ladder,20200516T234543.000Z,OBL,Jasael闭嘴宝贝,1,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Bomb Tower,Dart Goblin,Miner,Bats,Poison,Royal Delivery,Knight,Skeleton Barrel
19,Ladder,20200516T234207.000Z,OBL,✴Erik™,1,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Ice Golem,Hog Rider,Musketeer,Cannon,Ice Spirit,Skeletons,The Log,Fireball
20,Ladder,20200516T233848.000Z,OBL,ThebestClasher,0,1,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Ice Spirit,Knight,Goblin Gang,Goblin Barrel,Princess,Inferno Tower,The Log,Rocket
21,Ladder,20200516T233328.000Z,OBL,FightMe,0,1,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Golem,Lumberjack,Baby Dragon,Goblin Cage,Heal Spirit,Mega Minion,Night Witch,Tornado
22,Ladder,20200516T232947.000Z,OBL,Yunus'Bey,3,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Lava Hound,Balloon,Mega Minion,Barbarians,Zap,Minions,Fireball,Tombstone
23,Ladder,20200516T232636.000Z,OBL,aaaaa gapere 2,1,3,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Lava Hound,Mega Minion,Skeleton Army,Balloon,Arrows,Zap,Inferno Dragon,Miner
24,Ladder,20200516T232323.000Z,OBL,JulStew,0,1,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Hog Rider,Bats,The Log,Earthquake,Spear Goblins,Knight,Inferno Tower,Royal Delivery
1,Ladder,20200516T141709.000Z,Tokky,i'm jd,1,0,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Giant,Electro Wizard,Prince,Miner,Fireball,Zap,Mega Minion,Dark Prince
2,Ladder,20200516T141319.000Z,Tokky,MEGA PEKKA,1,0,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Giant,Graveyard,Skeleton Army,Bats,Mini P.E.K.K.A,Musketeer,Arrows,Zap
3,Ladder,20200516T141003.000Z,Tokky,zєndrαgσ_vt™,1,0,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Poison,Zap,Magic Archer,Royal Ghost,Electro Wizard,Bandit,P.E.K.K.A,Battle Ram
4,Ladder,20200516T140551.000Z,Tokky,The X-Axis,0,1,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Mortar,Miner,Bats,Fireball,Rascals,Goblin Gang,Spear Goblins,Barbarian Barrel
5,Ladder,20200516T140028.000Z,Tokky,fasi,1,0,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Princess,Inferno Tower,Rocket,Goblin Gang,Goblin Barrel,The Log,Ice Spirit,Knight
6,Ladder,20200516T135622.000Z,Tokky,Trainer Rémi,0,1,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Ice Spirit,Goblin Gang,Arrows,Inferno Tower,Rocket,Bowler,Dart Goblin,Goblin Barrel
7,Ladder,20200516T085554.000Z,Tokky,ＹＵＫＩ,1,3,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Golem,Night Witch,Baby Dragon,Mega Minion,Lightning,Tornado,Lumberjack,Barbarian Barrel
8,Ladder,20200516T085300.000Z,Tokky,SMR Shekelo野獸,1,0,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Knight,Bats,Spear Goblins,Skeleton Barrel,Poison,The Log,Miner,Bomb Tower
9,Ladder,20200516T084924.000Z,Tokky,THE ROCK,1,0,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Prince,Ice Golem,Hunter,Royal Delivery,Musketeer,Earthquake,Freeze,Graveyard
10,Ladder,20200516T084612.000Z,Tokky,milan339,1,2,Valkyrie,X-Bow,Skeletons,Tornado,Ice Wizard,Tesla,Rocket,The Log,Lumberjack,Night Witch,Balloon,Arrows,Minion Horde,Executioner,Skeleton Army,The Log
11,Ladder,20200516T084243.000Z,Tokky,XOisGOD,0,1,Valkyrie,Musketeer,Mortar,Goblins,Bats,Miner,Poison,Giant Snowball,Valkyrie,Hog Rider,Rocket,Ice Spirit,Goblins,Tornado,The Log,Executioner
12,Ladder,20200516T083805.000Z,Tokky,Elias❣️SniP3rZ,1,0,Valkyrie,Musketeer,Mortar,Goblins,Bats,Miner,Poison,Giant Snowball,Goblin Gang,Ice Spirit,Knight,Inferno Tower,Goblin Barrel,The Log,Rocket,Princess
13,Ladder,20200516T083327.000Z,Tokky,ashitami☽･:*,0,1,Valkyrie,Musketeer,Mortar,Goblins,Bats,Miner,Poison,Giant Snowball,Poison,Zap,Magic Archer,Royal Ghost,Electro Wizard,Bandit,P.E.K.K.A,Battle Ram
14,Ladder,20200516T083009.000Z,Tokky,Jason™️,0,1,Valkyrie,Musketeer,Mortar,Goblins,Bats,Miner,Poison,Giant Snowball,Giant,Graveyard,Night Witch,Arrows,Dark Prince,Goblin Cage,Musketeer,Giant Snowball
