,0,1,2,3
7508,@DestraGarcia come back to the states for Orlando carnival since I cant make it to miami ,💔,😢,😭
7509,@NINfreak7 i called a few times yesterday   now i cant find my cell it might be out in the car.,😡,😞,😢
7510,Ugh. I am sick for the second time in a week. This one is worse.  ,😣,😖,😷
7511,I still don't know who Jadakiss is. ,😳,😕,😐
7512,He called me a shorty!! ,😩,💀,😳
7513,waiting for my wifey to get out of work im home alone ,😩,😕,😔
7514,@apriloj oh no! is there any way of getting them after they sell out?! we're only gonna be able yo afford regular tickets ,💔,😞,😢
7515,dissertation and it is hatefull ,😖,😫,🔫
7516,Well I did take a personal day today. Hurts really bad when I cough and I cough a lot less when I am not moving. ,😣,😖,😷
7517,"I'm so torn between the bold, my 8330 &amp; the 8900 ",😖,😓,💔
7518,"@AlisonL There's really a group like that? They should blend the two words together to form � Knitter! Oh wait, I guess that's normal. ",😕,😜,😉
7519,I love the sun!! I hate school that keeps me out of the sun ,😑,😠,😡
7520,"despite a 14 hr sleep, i am already starting to fade this morning. i think i might have gotten sick on the flight home... ",😣,😖,😷
7521,Just seen the fail whale. For the first time in ages. ,😳,💔,😢
7522,At work again......it is going to be gorgeous outside and I will be inside!  ,😊,😁,😄
7523,at schooooll not getting any of this accounting  gayy,😑,🙅,🔫
7524,I just want to move out of a hotel ,😓,😩,😫
7525,is having another crappy day ,😣,😔,😞
7526,"@nlupus I've been contracting for a while now, though might have to return to the 'darkside'! ",😬,😜,😉
7527,Not feeling well today  I want chicken noodle soup and my bed...,😔,😞,😷
7528,@thegutterflower sigh. true that. ,😪,😞,😔
7529,Surfing on the internet ... I'm a litlle bored ,😐,😫,😕
7530,"Aww, the batteries on my flashing birthday badge are dying ",😞,💔,😢
7531,"weight training,humanities,astronomy x2,math - guitar ; last day of sunshine  &lt;3",🎶,💓,💪
7532,@annaxautopsy well frankmusik is on the uk store but we can't buy it from there... ,😕,😞,😢
7533,I havent been home since xmas break. lm a lil homesick  Faith.Hope.LOVE,💛,💔,❤
7534,"@vernieman no use for me. I stay in the mountains, next to Yetis cave. No coverage for me... ",😔,😞,😢
7535,work till 5 ...     then a project,😑,😓,🔫
7536,cant get the webcam to work       = [      ,💀,😡,🔫
7537,@murri ohh!! I've been there (Old Spaghetti Factory)!! 'Cept it's been about 20 years... ,😳,😷,🙈
7538,Back after spending a couple of days with my sis and her family. It's now raining  Should be doing something about the ironing.,😑,😒,😕
7539,"omg...haul tailing out the house, got to my destination   no wallet  ",😳,😭,😢
7540,"@brahmresnik you are full of good news today  , but I am not shooting the messenger...",😡,😜,😉
7541,@apdesch because he doesn't like you ,😏,😉,💁
7542,Off to work.  I'll be back to play by the time most of you will be gone to bed ,😉,😴,✌
7543,@James4Students ugh! i know the feeling! just dropped $400 on new tires last week ,😫,😣,😖
7544,"Www.fmylife.com wow sometimes this site is funny, but other times it just really depressing  Shame that this kind of stuff happens to ppl",😔,😞,😕
7545,"UPS trackers are really niffty. My phone is in Tyler, TX! Yay... I miss it ",😞,💔,😢
7546,another long day today  is it friday yet??!,😣,😫,😴
7547,that hurt my feelings    *B-Unit*,😔,😢,💔
7548,"@kyndoll yo yo happy birthday! wish it was my birthday, instead i got da mono... shitty ",😔,😞,😷
7549,Having my AT&amp;T DSL going down so frequently is getting very annoying. ,😒,😡,😠
7550,I saw the cutest guy ever!.... in my dream  dreams come true right? i hope so! (:,😍,💛,💓
7551,why oh WHY is it snowing out?! ,😫,😡,😠
7552,my cat is sick again... congestive heart failure .. not sure if she's going to make it this time ,😞,😢,💔
7553,sitting in class bored as hell!!! ,🔫,😑,😒
7554,"brain feels clear, sinuses do not.  meh.",😖,😣,😷
7555,@Bethanrob2 Saw kate in town she has &quot;0% off facials i want o go but i doubt i'll be able to ,💔,😞,😢
7556,Is bored and doesnt have anything to do ,😕,😐,🔫
7557,@domisatwit I didnt ,😑,😐,😕
7558,@TerilynnS That's what they want is new fans. They don't care about us. ,😞,😢,💔
7559,"Sweet. 5 jobs applied for. 3 agencies applied to. Sadly, there's nothing new on the job boards at BUNAC though. ",😢,😞,😕
7560,"Fourth day of holidays, im sooo bored!!! ",🔫,😞,😣
7561,I believe I'm being attacked by allergies. I sneezed twice while outside this morning.  My nose got runny...and my eyes are itchy. ,😣,😖,😷
7562,"More torture from that weather, uhg. I wish there was a cure for Migraines. Have little hope of growing out of it since mom suffers too ",😖,😢,😣
7563,is playing iKnowledge (???) in facebook. The question is so difficult.  http://tinyurl.com/dn8ot5,😑,😠,😣
7564,Just played abit of &quot;Left 4 Dead&quot;...Scared to bits now ,😳,😬,😖
7565,touring harlem. nobody wants to get off for pix but me! denied! ,✋,😠,🙅
7566,So the money they hid in Golden Square has long gone ,👀,😳,🎶
7567,i am tired...i dont want to be here...9 hrs left ,😣,😫,😴
7568,Woke up waay too late this morning-make that afternoon ,😣,😓,😴
7569,@tweetabitch Coming through Greensboro just a minute ago - sorry we didn't bring any fish ,😅,😕,😬
7570,"@nudaydreamer Can you remind me (repeatedly, perhaps) to call about renters insurance.  Hiveminder isn't doing the trick, apparently ",😬,😉,😕
7571,@chabling oh ok.. CALI KUSH it is!!!! Lol (wish we had that out here.. Never experienced yet) smh ,😤,😕,😔
7572,My poor mother country of Italy.  ,😔,💔,😢
7573,"@Shelbiie OH, can't believe I never new ",🙈,😞,😔
7574,@localtweeps I listed myself yesterday (in 20036) but am still not showing up ,😞,😢,😕
7575,Installed the new derailleur and I needed to adjust the headset. I discovered the steerer tube is too long. So no raptobike tomorrow. ,😣,😢,😞
7576,My GTA IV ringtone was downloaded 5000+ in the first hour whereas my T-Mobile ringtone hasn't been downloaded once. Sad ,😔,😞,😢
7577,"@cndavis still disappointed been riding with @sprint for a long time, plans r the best but not the handsets ",😢,😕,😞
7578,Failing my stats class  well dangerously close  Meghan Rose &lt;3,😅,👍,🔫
7579,"No hubo The Big Bang Theory  otra vez, hasta el 13 ",🔫,😢,💔
7580,"Today, I was putting on jeans and noting how they're my very favorite jeans and I love them so much. I proceeded to rip them. FML ",😭,💔,🔫
7581,I think I've had my fill of poop today with two little ones and a puppy there is more than enough to go around. ,🙊,😷,😳
7582,"@Jennyc28 I would say Reads of Nassau Street, but that's the Dublin equivalent - copy centre? sorry... ",😉,😬,😕
7583,"@zecool yeah, and he was working out west. ",😑,😐,💪
7584,ate too much oysters. BAAAAHHH. ,😣,😖,😷
7585,... wondering what a PMA is   ,💀,😳,👀
7586,@Rohdni nothin much got a cold  i love you more,😉,😷,😘
7587,I'm starting to wonder if I have some sort of magnetic field around me that breaks computers...now my office computer is down. ,😕,😠,😡
7588,Rankings dropped for the keyword &quot;Buena Park Businesses&quot; from #5 to #8 ,💪,👍,👏
7589,desperate times call for desperate measures. record high of car break-ins in #btv. i was one of them ,😎,😅,😬
7590,@deceptive_chick your mantra sounds like no fun ,😂,😕,🙅
7591,@loqenz_niteowl I'm glad she got there safe! Miss her already ,💔,😔,😢
7592,"@llef dial-up, ewww, didn't know people were still on that. ",😅,😂,😉
7593,"I wish everyone would just get along  ah well, c'est la vie",💁,😌,✌
7594,@julesmo @PumpsAndGloss @chicblog it's such a shame! ,😔,😞,😢
7595,@davefearon Wish I could come see everything but i'm at work all day ,😢,😔,😞
7596,I just got my first fail whale...  @Twitter.,😑,😢,🔫
7597,@bytchylilthing Awww honey feel better!  ,😷,💛,😘
7598,WoRKinG...   I dON't FeEEeL LiKe WorKInG toDAY..,😣,😑,🔫
7599,why isn't BumpTop out for Mac yet? ,😫,😡,😠
7600,i have no money left oh well i don't anything really!!  I can wait for 2 weeks unitl i get paied again.,😬,😣,😁
7601,Meeting for the next couple hours about automated building control systems   ,😅,😬,🔫
7602,"Feeling awful, not hangover ill but ILL and what am i doing for the rest of the day? Working ",😖,😞,😷
7603,"Is on bed rest for a few more days, doc's orders.  Only way my back will heal! This sucks!",😣,😢,😞
7604,"@cheznoir Sorry, only just read your @reply re. Herb McGwyer - I've not been able to find it anywhere ",😢,😕,😞
7605,Busy day... going to the Doctor now... ,😖,😣,😷
7606,Hiccups ,😠,😣,🙊
7607,is feeling lonely ,😕,😔,😞
7608,is revising for his GCSE Exams ,😫,😓,🔫
7609,is being forced to try this again by the boyfriend. ,🔫,😒,😑
7610,gutted to discover @bounder is going to make a 'digital' version of the cardboard 'totaliser' I'm making for #weshareDI  #bluepeter,😞,👍,😢
7611,http://twitpic.com/2ygve - This is where I will be parked for the next three days. No windows ,👍,🙅,😎
7612,"It annoys me that a 250 GB hard drive doesn't actually hold 250 GBs. In fact, no drive holds the number of GBs it claims to hold. Sucks! ",😤,😠,😡
7613,"@rissaleewhis - Isn't it justtt?  I've lost him now.  Oh, woe is me.",😞,💔,😢
7614,The ONLY negative about my new Panera office? The elevator music...snore. Kind of annoying actually. Forgot headphones ,🔫,😠,😑
7615,@Izan13 minus out the sand I'm envious...wish we could go to the beach sometime    sorry you were sick that day &amp; had a sand blowing day,😔,😢,😞
7616,twitter will never conquer the social networking world if it goes 'over capacity' all the time ,😕,😴,🙅
7617,"Is desperate for some work, getting slightly bored now ",😐,😕,😴
7618,By the power of Grayskull...I shall go to work!!! ,👍,👊,💪
7619,Got a bit of a hot and poorlyish boy on my hands atm. Poor baby ,😔,😞,😢
7620,Having a nurse come today to give me supplies for cemo at home  This cancer thing really just blows.,😔,😢,😷
7621,"This is a lot harder than I realized, but I know this is the only way to go in order to be happy in the long run.  Just right now it sucks",💔,😞,😔
7622,School  I need to get in the zone for the game against Livermore today.,😈,👊,💪
7623,haha! its amazing isnt it! miss you! i wanna come back ,😭,💔,😢
7624,@josephraymond I feel ya on that one. ,😅,👌,😂
7625,my butt hurts. ,😫,😖,😣
7626,@FaeQueen omg thats horrible  I hope the rest of your day gets better I hope the geese is ok,❤,💜,💖
7627,has a really bad headache..or should say a neck ache..gahh and im nauseated. this sucks ,😖,😣,😷
7628,"@kevinhoctor Sure am, booking flights and tickets this week... hopefully see you there! I have regular sized business cards now though ",👍,😬,😉
7629,Ffffuuuu the dress i wanted to buy is sold out ,😫,💔,😭
7630,Taking my dog to the vet soon  I hope everythings okay with her ,💔,😔,😢
7631,In class ,😒,😑,😴
7632,"Bored, woke up too early...   Still got another hour...   ",😣,😫,😴
7633,shit what at House. Kutner! ,😳,😡,😠
7634,@evernote crashed two time while creating new note after my last update... (Mac) ,👍,😉,😢
7635,@Shar_ds @cazm I'm not going to make it  way way to ill....,😞,😢,😷
7636,disappointed he missed the new Star Trek last night. ,😕,😞,😔
7637,"@pedrogaspar I thought I was the only one with &quot;tab'itis&quot;...  I get &quot;attached&quot; to the open tabs with articles, code, etc... :/",😢,😜,😉
7638,Need to arrange my car insurance ,😓,😫,😬
7639,"Had stress relieved, now it has returned ",😅,🙌,😌
7640,so failing... 2 outta 5 classes aint too bad ,🔫,👍,😅
7641,"I can't, in my conscience, join anything which includes neo-cons. ",🎵,✌,🎶
7642,Sad! Chris has to work on Easter ,😔,💔,😢
7643,First time to go negative in my bank account!!  i am not a happy camper!! what was i thinking!,😖,😠,😡
7644,Forgot to set my alarm and woke up after the sun...gona be late to work ,😑,😡,🔫
7645,I miss singing already ,😔,😢,💔
7646,"@saldtprecords dang near snowing, its snow flurries  from sandals to boots again. crazy",😜,😬,😳
7647,booo to that test i just took ,😳,😬,🔫
7648,Last day at Maya's  Chilling out and then off to Syracuse to see Emily.,👍,😄,😁
7649,What's the best tool for sharing pictures on Twitter? I noticed that @henriliriani created dznr.org but I'm not invited to that party ,😞,😢,😕
7650,There are ants crawling around in my room. ,🙅,😷,😖
7651,"@zoolynegron i'll pay for your ticket, and you can pay me back. i dont wanna go alone ",😫,😢,😭
7652,@starry___eyed haha its amazing right! i miss you! i wanna come back ,😫,😭,😢
7653,"@bcuban come on man, don't jinx the Pirates ",😂,🙈,😉
7654,too much work to do ,🔫,😣,😓
7655,"@lucyrider Haha, our windows are barred. I'm a prisoner 9-5! I wish I was joking  Such a beautiful day too!",😉,😄,😜
7656,is bored and haven't a clue what to do ,😣,😐,😕
7657,@itsallgoood wats wronggg?? ,😕,😳,👀
7658,iTunes rolls out variable pricing for songs ,👌,🎶,🎵
7659,is cold at work again today...I gotta remember to pack my SNUGGIE in my car ,😫,😣,😖
7660,@ttaylorbear that's me every morning ,💀,😅,😂
7661,@ConfessionsMom I would LOVE to be a stay-at-home mom.  Right now I work outside the home   Thanks for checking it out!,😊,😄,👍
7662,Setting up a new VMWare Image for .NET dev.  2 hours later I'm on my 4th windows restart and still haven't got everything installed yet ,😤,😠,😡
7663,OMG! I hate this snow!   3 Days till David Cook!  &lt;Hebrews 13:8&gt;,🙏,😡,😠
7664,To the theatre again. Determined to see more than the last 40 minutes of the show today. 1st act sounds hilarious but have yet to see it ,😠,👍,😡
7665,My blog's mysql is down.. ,😔,😞,😢
7666,@surblimity hope they are treating you well! Hospitals are no fun ,😕,😞,😷
7667,Has two essays to do by tomorrow morning. All I want to do is SLEEP. I'm so tired. ,😣,😞,😴
7668,Couldn't get twitter to work last night ,😕,😔,😞
7669,"has no internet access and needs an iPhone, clearly, to keep up with Twitter. Life without Twitter is not the same ",😕,😢,😞
7670,"Remember that laundry I was lamenting about last night? Well, it's still there. The laundry fairy didn't come take care of it. ",😒,😐,😑
7671,@SheridanBlock Aww I am sorry!  lol yu saw the HIlls too.. I wanna watch the season to see why Spencer calls LC to appologize lmao!,😞,😔,😢
7672,is not very happy today! ,😞,😡,😠
7673,I think im gettin a cold ,😖,😞,😷
7674,So. Kutner is leaving Housee for Obama. I don't know how I feel about that. ,😳,😐,😕
7675,the car has to saty with dr Toyota overnight..... ,😍,😳,😷
7676,@adders -Have you asked IT why bit.ly is inaccessible? I'm now unable to read any of the articles my readers are tweeting to me ,😕,😞,😢
7677,@Katsweat you never told me the ilaa horror stories. And I will be out of my rut when this damn headache goes away. ,😖,😡,😠
7678,@lenejohansen I had to reschedule bc a throat infection kept me home yesterday ,😭,😓,😷
7679,@vix7 I swear I'm going to unfollow you ,😤,😡,😑
7680,Didn't sleep well last night. Thought about that little girl and what she probably had to go through before she died. So sad. ,😔,💔,😢
7681,@drdogbert @novawildstar guilty as charged! ,🙈,😜,😉
7682,@rhonnie_mcfly What about me? ,😞,😔,😢
7683,"Wish Blake Griffin would stay one more year, but I know better ",😞,😕,😔
7684,@varniee BUT I'M TIIIIRED!  you cruel girl.,😔,😢,💔
7685,"@ellylaine We didn't make it in the end  massive queues on the M25 then took wrong turn right near Wembley itself, gutted! x",🙈,😞,😢
7686,for those of you thinking i hate the yankees - i dont. i'm a yankees fan.  and losing to the orioles no less ,🙅,😠,😡
7687,"At work, tho its friday its an awful friday, they have my take n income n calls for 9 hrs when I usually make outbound calls, what a day ",😡,😑,😠
7688,"i have had 5 prank calls in 2 days, some the same, some COMPLETELY different... i really wanna know who it is! ",😬,😳,😠
7689,Morning folks! LA traffic to work  listening to Mario - Break up this goes sooo hard 2 me,😎,🎶,🎵
7690,justin-hard time finding work me-hard time being happy ,☺,😊,😄
7691,awesome. no voice again today. work is going to be impossible. ,😣,😞,😷
7692,"Got home. A parcel that was meant for me was delivered to our neighbours' house, but they're not home... ",😢,😠,😡
7693,"Did some voluneering and now have to focus on Uni stuff. Need to write a press release, how hard...  wish I had more practice",😓,😢,😞
7694,"I just saw a video of Grown Man from Champaign,IL. I can tell Donnie's back is hurting him in it  His usual hip action is toned way down!",😳,👊,💪
7695,Still sitting in class eating goldfish and drinking sprite! If only it was lunch time ,😋,😔,😞
7696,@morningroc What about Robert Englund? ,😕,😉,😢
7697,&quot;Pack&quot; the duckling found safe but his webbed feet have been cut and a new one will still have to be made.  http://is.gd/rdfK,😈,👍,💓
7698,trying to find a good vet around here. i think one of my kitties has asthma ,😞,😔,😢
7699,can't write anymore papers  five to go,😣,😫,🔫
7700,@kenbillups Mitchell James is my uncle (Kappa man who passed 4 yrs ago). The Kappas named a scholarship after him. Miss my superman ,💙,💔,😢
7701,Happy opening day! Wish I could be getting ready to go to the Giants game instead of work ,💙,😞,😔
7702,"yep, say hello to $1.29 #iTunes downloads, the #new #standard for #high-quality, #over-priced #digital #downloads. #Sad, sad day. ",😔,😞,😢
7703,I love it when class gets cancelled! Too bad it's my 2nd of 3 classes of the day so I still have to stay for my 1st &amp; last ones ,😡,😑,🔫
7704,is hoping this tummy ache from too many cookies will go away soon. thanks brady  ,😣,😞,😷
7705,Why doesn't high school teach apa style citation? Its all i'm supposed to use in my class ,😒,😐,😑
7706,@OICUCHLOE We do talk else where &gt;&lt; I wasn't there ,😞,😕,😔
7707,not impressed with the fact it is SNOWING APRIL 7TH ,😑,😡,😠
7708,Last day @ Disney ,😭,💔,😢
7709,Swamped at work....  not a good day      But trying to keep positive... The weekend is not THAT far.,😕,😞,😣
7710,Come home to expect his warm hug &amp; gets none! ,😡,😠,🙅
7711,@BerlinByNight RUB IT IN! ,😤,😡,😠
7712,The man behind me on the train smells so much of booze it's giving me a headache ,😣,😖,😷
7713,Missed Jon's tweets again last Knight   He waits until I turn off my phone to start twittering!  Still love him though!  LOL!,😄,😘,😜
7714,I'm fighting a losing battle with a broken heart. ,🎵,🎶,💔
7715,"@TomFelton Oh Tom, my pancake hopes have fallen flat  Oops, there's that &quot;Draco Malfoy&quot; stare. Better get back to work.",😬,😜,😉
7716,@victoriaellis I find that almost un iversally true ,😅,😉,😂
7717,watching pokemon. WHERE IS EVERYONE ,😭,😢,👀
7718,"@hilarymarie My kids asked about &quot;the red dots&quot; on my face, &quot;why like that? how come?&quot; Pimples. &quot;what are pimples?&quot; ",😐,😕,😳
7719,http://twitpic.com/2yh5g - Today is the day. Gotta sell the scooter ,😜,✌,😎
7720,Please no rain today! I got some things to do outside ,🙌,🙅,🙏
7721,I need friends for twitter ,😐,😕,😅
7722,@FemaleProdigy Hate to burst your bubble but TV Guide's Matt Roush says it's a disaster!  I was looking fwd to it also. ,😞,😠,😡
7723,just woke up  kinda not feeling well... http://plurk.com/p/n2obx,😞,😕,😷
7724,i don't want to get out of bed ,😴,😣,😫
7725,"@hayden_harnett Unfortunately, that's been happening since yesterday ",😕,😔,😞
7726,is off 2 work ,😎,👏,🙌
7727,: staying away from tea all day today ,😌,🙅,😷
7728,"@LauraGuthrie Sadly not  Wet, grey and really quite yuck again. Any better over there?",😞,😕,😷
7729,@juliekoh I've just discovered I'm busy around lunchtime  I don't suppose dinner is possible?,🙊,😳,🙈
7730,@jenlar So not fair. Some of us are stuck at work...  I wanna be cozy at home!,😠,😞,😢
7731,wasting time. ,😒,😑,😪
7732,SIck and tired of hacking away at a third parties PHP code. The whole thing needs re-written so as to be maintainable. ,😤,😠,😡
7733,@RobPattinson_ I can imagine the amount of messages you get everyday! I wish my job was exciting as yours! Enjoy everymoment of it for me ,😊,😄,😉
7734,I can't believe that I am still waiting for a damn delivery. It's clearly not coming today. ,😤,😠,😡
7735,i get to work again today and tomorrow! i'm so lucky... ,😊,😍,😄
7736,@HeatherAnnP hearing you talk about editing pictures makes me cringe  lol,😬,😷,😖
7737,"eating, eating, eating................. ",👍,👌,😋
7738,our grass is so high that I let the dog out and he comes back soaked all over! poor thing ,😞,😔,😢
7739,I'm sad to hear the news of an 8-yr-old girl who has been missing in our area - her body was found last night - Prayers are needed ,💔,😔,🙏
7740,"@Zee It's good, but buggy like a motherfucker. ",😉,😑,😒
7741,"this day is going from bad to worse...i broke my shoe this morning, it's windy and freezing cold out, and I still have to take a DE test. ",😖,😡,🔫
7742,i am sorry to hear about your grandma   anything i can do for you?,😢,💔,😔
7743,@sfrancisk  my brain is mad too. but i don't imagine as mad as yours. *pat*,😠,😡,😜
7744,@jessid33 I hope things start looking up soon  Coffee always helps me! ,☺,🙏,😊
7745,"Gots to go now Twitters, Have an MRI scan at 5.30pm  I HATE MRI's.",🔫,😠,😡
7746,Mmm...English is difficult ,😪,😣,😓
7747,"@Super_Angel I was wondering if y'all were going to observe the passover, I'm sad our church is not doing it this year. ",😔,😞,😢
7748,@CuddlyDragon Heading back home on Thursday evening after work I'm afraid. ,😢,😬,😞
7749,"Omfg, days like these kill my soul. And it's not even lunchtime yet. ",😣,😖,🔫
7750,sdafghjkl;jhgnfbdvsdfghjkj i hate things like this ,😠,💔,😣
7751,my throat still hurts  Wah!! Feel sorry for me lol,😫,😖,😷
7752,starting to worry about the java exam... ,😓,😣,😖
7753,"Ugh...going to school, bye bye ",✋,🔫,✌
7754,@ciara_danella Carol! a gun was held to my head as i booked my flight. Ciara made me do it. I didnt have a choie  lol,😑,😳,🔫
7755,"sick today    staying home, and watching CHICAGO &lt;3",👍,✌,😷
7756,Paypal is telling me to look at a guide for IPN.That guide tells me to look at another guide.The 2nd guide tells me to look at the first. ,😠,😐,😑
7757,"2 young men with suit/tie at my door talking about God, Jesus... Took me 15 seconds to get rid of them. Poor guys... Completely lost... ",💔,😳,😢
7758,Just invoked quicksilver.  Now i am over BumpTop Beta only beings Windows for now.  Poor Windows and no Quicksilver  ,😡,😞,😢
7759,"@bird_e seen your cuz last night in traf, he was with my brother... he misses u ",😞,💔,😢
7760,"online bankovnictv� KB je offline zrovna kdy� je to nejv�c pot?eba  �lak m? tref�, grrr",✌,💓,😜
7761,I hate waking up in the morning with a sinus infection. It's the worst. ,😣,😖,😷
7762,@flipmcneil lol slim goodbody?? I wanna see that pic! and for some reason I keep missing your @ replies to me ,💔,😔,😢
7763,@TonyWade LOL I think twitter is just behind by 6 minutes or so!will check ur e mail shortly!on phone to insurance company ,😄,😜,😉
7764,Am bored anyone want to talk to me??? ,😕,😞,😔
7765,Had horrible dream in which one of The Sats died :|  The first dream I've had about them that I properly remember and it's that terrible!!,😢,😣,😖
7766,miley and demi please reply ,😭,💔,🙏
7767,@KittyBradshaw I'm shocked I thought NYC was cock full of quality nail shops ,😂,🙈,😳
7768,does not enjoy being beaten on wii fit  GAME ON.,😤,😡,😠
7769,"@kirsty_lee My battery life is about two hours; if I'm doing internets or have 2+ programs open, it'll die even faster! ",😫,😬,🔫
7770,@annietrevino    i miss you sooo much  come back to my home!,😭,😢,💔
7771,had an interesting night to say the least ,😳,😏,😅
7772,"Feeling very, very envious of everyone who has already seen Star Trek in Austin, TX and Australia. ",😔,😞,😢
7773,"Not like I'm an important presence on Twitter, but I will probably not be updating from the Internet until after I get married; too busy. ",😬,😕,🙅
7774,"@ASacco almost, but still about 2 months short. I got mine Nov.21 and even with the annual upgrade I would still have to wait. ",😢,😕,😞
7775,going to go sleep. i wish it was the weekend already! 2 more days of work to go! ,😫,😣,😴
7776,working through a really bad headache! ,😓,😖,😣
7777,"i hate SAT scores, i'm a mess ",😫,😣,😖
7778,@dashkdot  Oh no!    Not to mention all the dust and yuck they'll inevitably stir up.  I'm so sorry.  Theoretically you get a better road?,😷,😖,😢
7779,"@Dozc Not aching too bad this morning, just very tired  Cat not on any special diet, just going to feed the fat bastard less!!",😉,👍,😜
7780,"okay this holiday i plan to. go shopping in birmingham, have a sleepover. urm, go down walsall. do more fun stuff ",😉,👍,😜
7781,last day at work  im gonna miss it,💔,😪,😢
7782,"@WackoTTL Man, I'm sorry to hear about that ",😕,😞,😔
7783,i dislike dreams that make you feel sad even after you wake up ,😣,😔,😞
7784,is in my education class.  Where did all the warm weather go?? ,😳,😫,😓
7785,"Five minutes of sunshine to melt the snow, back to windy and gray again.  ",💙,🎵,🎶
7786,a woman cannot survive on toast and cheesy wotsits alone ,😖,😷,🙅
7787,Gotta leave for work soon  Anyone fancy going for me?,🙈,😞,😬
7788,Just posting about my first time with the #WiiFit - It's okay...but not what I thought it was going to be  http://bit.ly/K6wwM,😕,💔,😢
7789,@thedangles  no emobeans.,💔,✋,🙅
7790,Is in love with Slumdog Millionaire! Such a sweet movie made me sad ,😭,💔,😢
7791,just finished a morning 4-miler...not too shabby although it looks like rain is coming   work time...,😬,😄,👍
7792,I found a thorpe park brochure from 2004 whilst looking for a revision notebook. I'm jealous that annual passes used to be �80 ,😫,💔,😢
7793,Out of pickles... ,😢,😖,😷
7794,"@heykimmi our timing in the last days is bullshit x) And next week, you're in holidays   But I hope to see you soon (THE weekend)",💖,😊,😉
7795,Pooooo!! Do i have to go to work today!! ,😡,😖,😫
7796,hurt my toe trying to get to the phone ,😖,😩,😫
7797,stupid cocking megavideo :@ wish wixi wasnt down today ,😞,😡,😠
7798,"my first full week of class this week. no skipping, sad day ",😔,😞,😢
7799,suuuhleepy in class. zombie for the day. essay kept me up last night ,🔫,😴,💀
7800,@robby1051 I know people who don't even use the straps. Makes me nervous ,😖,😳,😬
7801,@KHill215 I seriously had hopes of wearing something short sleeved for Easter Sunday Service... Probably need a shawl or sweater! ,😞,😬,😕
7802,is on the verge of somthing great......just not sure what it is . ,😣,😐,😕
7803,"@ApplaudtheActor Oh no, definitely not a stranger to House. Just haven't watched last night's episode yet. Not looking forward to it now. ",😢,😞,😕
7804,"and i am officially hungry again, it is going to be a long day today ",😖,😞,😣
7805,Suggestion - any charity in Singapore need a (perfectly working) Netgear router? I lost the driver CD though ,😕,😞,😢
7806,@stephenfry Doesn't it just make you feel all sparkly though? I miss having a tan ,💔,😢,😔
7807,woke up a year older ,😴,🙌,😳
7808,@thetull sorry to hear that Ben. ,😕,😔,😞
7809,"@MariahHBF &quot;I check my Twitter every second&quot;Aw,no tweets today?  Oh well, I do have a life besides Twitter*crosses fingers behind back* ;)",😄,💁,😜
7810,is missing his friends from back home.. ,😔,😢,💔
7811,Every single photo I have taken today is butters ,🙈,😐,😷
7812,very angry ,😤,😠,😡
7813,"@missezrenee Poor baby, I have a bad throat also  IT SUCKS!",😢,😞,😷
7814,"Also, bullying stories hit way too close to home ",😪,💔,😢
7815,Chapped lips...I wish I knew where my Burt's Bees was. ,😫,😣,😖
7816,Pondering when to leave CA ,😪,😓,😢
7817,"honestly, i'm more than a little bit bummed about the 5* thing ",😞,😔,😕
7818,Really feeling broken SVN integration with IDEA.  Need new plugin that supports 1.6 now now now.,💔,😞,😢
7819,Todays a good day so far... I just wish Charlie was here... ,💔,😔,😢
7820,woke up to see the ground covered in snow...in April! ,😍,👍,😄
7821,still waiting.... gah... the suspense!  #fb,😖,😣,😬
7822,@krm_bia oh Jesus I need some starbucks in my life right now. I was gonna be late to work if i picked it up ,😩,😣,😫
7823,"wants an SA account, no credit card ",💔,😪,😞
7824,"I wish I was black. Actually, I think I was meant to be black. I already  got the dick! Just not the pigment...  lmao",😔,😕,😂
7825,@leealison allergies suck!!  I have been having to take zyrtec for the last wk now..   ,😣,😖,😷
7826,"Hmmm, I'm on holidays, but working. How does that work? ",😐,😕,😓
7827,Fighting a horrible sinus infection!  Makes for very long conference calls...  ,😣,😖,😷
7828,we're late leaving for wilmington  but its gorgeous outside and realllyyy chilly in south carolina,💙,😎,😍
7829,I hate finance subject... they make me feel woozy!! ,😠,😷,😖
7830,Spent like an hour on MyBrute trying out making different characters (I made 26)... Leveled them up to 2... Still no wolf or good weapon ,😠,😡,🔫
7831,@drjenny88 YAY! About the dissertation thing. Not the killing thing  BUT YAY! it's dooone!,😬,😁,😄
7832,@mumblingmutant What happened to your icon? I liked that little green ferocious guy ,😜,👍,😉
7833,Just woke up. Still no tax refund ,😠,😑,😡
7834,@RyanSeacrest Figures  how does a Canadian get past the &quot;not available in your area&quot; to see Eminem's posted video??? Any ideas on that??,😕,😠,😡
7835,is sitting in computer apps ,😑,😐,🔫
7836,"IPL schedule for SA now online http://snurl.com/fezu1 , but none of Joburg matches are bookable yet  #cricket http://ff.im/-1Ynyy",😣,😞,😢
7837,i lost a follower ,😪,😔,😕
7838,"Happy and sad, I don't have to go into work until 3:25 today, but I miss out on my 12 Asian kids on a bus route. ",😔,😞,😢
7839,@reinmouse ,😍,💛,❤
7840,"@xxandip I love pineapple, but it gives me tummy ache ",😷,😣,😖
7841,wondering where this cold weather came from ,😳,😷,😕
