,company,raw
298,Plum Organics,Plumâ€™s mission is to get the very best food to little ones from the very first bite. And we mean all little ones.
299,PROVOC,We use technology and design to drive social change and innovation.
300,Pyrrha,Weâ€™re committed to sourcing local materials and using local production because we believe in bettering our city and our community.
301,Raven + Lily,Raven + Lily is a socially-conscious lifestyle brand dedicated to empowering women through design.
302,Reformation,It is our mission to lead and inspire a sustainable way to be fashionable.
303,Relay Foods,"We make shopping for quality, healthy, and sustainable groceries simple and easy."
304,Renewal Funds,The 21st century will see dramatic retooling of the ways we live together on the planet. Itâ€™s time to shift capital to the solutions economy. Renewal Funds invests in change by supporting businesses at the forefront of social and environmental innovation.
305,Ruby Rockets,We are passionate about creating snacks that taste incredible and that your family can enjoy without guilt or fear.
306,Salt Spring Coffee,We roast to inspire change. We believe in being better.
307,Social(k),To provide people with the choice to invest their money in companies that value social and environmental responsibility alongside profitability.
308,Soma,"To improve life for everyone who drinks water, with sustainable, plant-based filters that make water healthy and delicious, beautiful carafes and pitchers, and the convenient Filters by Mail service."
309,Staach,To create exceptional products that are affordable for people and good for the planet.
310,Swift River Consulting,Our mission is to help nonprofits utilize the salesforce platform to extend their reach and communicate their impact. We believe in empowering people and organizations with time-saving tools that expand the vision of whatâ€™s possible.
311,The Moderns,To create campaigns and strategies that benefit the whole community.
312,The Natural Baby Co.,"To provide products that are the highest quality, healthy, and environmentally friendly to parents throughout the world. We strive to empower our employees and customers with the knowledge necessary to make a positive impact on the planet through natural parenting."
313,The Tea Spot,"To foster health & wellness through whole leaf tea, so you can live an inspired and healthy life."
314,The Womenâ€™s Organization,"Our mission is to reach out to all women, and for all women, to enhance their role in their own lives, in their local communities, in business and in the wider world."
315,Untours,"Untoursâ€™ purpose is to foster a healthy and healing society that unites people of different cultures and economic statuses. We feel it is imperative to reconnect people to each other and to the earth. We hope that we, as a company, can be the change we wish to see in the world."
316,UPcycled City,To create an online community that harnesses the collective efforts of our members committed to solving the problem of material waste.
317,VIF International Education,Making learning global and ensuring that every student is prepared to succeed in our interconnected world.
318,Vital Consult,Vital Consult has a passion and a determination to see humanity and the environment benefit from our economy by developing sustainable innovative practices for the future.
319,Waste Farmers,We empower the farmers of the 21st century with sustainable solutions to grow consciously.
320,Wize Monkey,To improve the livelihoods of coffee-dependent communities with a wize solution for farmers and consumers alike.
321,Womenetics,"To cultivate savvy women who positively impact their companies, community and our society."
322,WorldWide,"To make environmental progress and sustainability accessible to businesses, nonprofits and individuals through online storytelling, community building, business partnerships and fundraising. Our crowdfunding platform and advisors inspire, educate and prepare our clients to raise money for their meaningful green endeavors."
323,WWF,To stop the degradation of the planetâ€™s natural environment and to build a future in which humans live in harmony with nature.
324,Skype,Skypeâ€™s mission is to be the fabric of real-time communication on the web.
325,YouTube,YouTubeâ€™s mission is to provide fast and easy video access and the ability to share videos frequently.
326,eBay,Provide a global trading platform where practically anyone can trade practically anything.
327,Unicef,The maintenance of international peace and security.
328,Greenpeace,"Greenpeace is an independent campaigning organisation, which uses non-violent, creative confrontation to expose global environmental problems, and to force the solutions which are essential to a green and peaceful future."
329,American Red Cross,To prevent and alleviate human suffering in the face of emergencies by mobilizing the power of volunteers and the generosity of donors.
330,Medecins Sans Fronteres,"To help people worldwide where the need is greatest, delivering emergency medical aid to people affected by conflict, epidemics, disasters or exclusion from health care."
331,MoMa,"To collect, preserve, study, exhibit, and stimulate appreciation for and advance knowledge of works of art that collectively represent the broadest spectrum of human achievement at the highest level of quality, all in the service of the public and in accordance with the highest professional standards."
332,TED,Spreading Ideas.
333,The Humane Society,"Celebrating Animals, Confronting Cruelty."
334,Smithsonian,The increase and diffusion of knowledge.
335,Monterey Bay Aquarium,To inspire conservation of the oceans.
336,Wounded Warrior Project,To honor and empower wounded warriors.
337,Best Friends Anumal Society,A better world through kindness to animals.
338,Kiva,To connect people through lending to alleviate poverty.
339,Livestrong,To inspire and empower people affected by cancer.
340,Public Broadcasting System (PBS),"To create content that educates, informs and inspires."
341,National Wildlife Federation,Inspiring Americans to protect wildlife for our childrenâ€™s future.
342,Oxfam,"To create lasting solutions to poverty, hunger, and social injustice."
343,charity: water,"Bringing clean, safe drinking water to people in developing countries."
344,American Heart Association,"To build healthier lives, free of cardiovascular diseases and stroke."
345,Environmental Defense Fund,To preserve the natural systems on which all life depends.
346,New York Public Library,"To inspire lifelong learning, advance knowledge, and strengthen our communities."
347,Then Nature Conservancy,To conserve the lands and waters on which all life depends.
348,CARE,To serve individuals and families in the poorest communities in the world.
349,National Parks Conservation Association,To protect and enhance Americaâ€™s National Park System for present and future generations.
350,JDRF,To find a cure for diabetes and its complications through the support of research.
351,Heifer International,To work with communities to end hunger and poverty and care for the Earth.
352,ASPCA,To provide effective means for the prevention of cruelty to animals throughout the United States.
353,Defenders of Wildlife,"The protection of all native animals and plants in their natural communities.,To undertake research and action focused on preventing and ending grave abuses of these rights."
354,Creative Commons,"Creative Commons develops, supports, and stewards legal and technical infrastructure that maximizes digital creativity, sharing, and innovation."
355,March of Dimes,We help moms have full-term pregnancies and research the problems that threaten the health of babies.
356,American Diabetes Association,To prevent and cure diabetes and to improve the lives of all people affected by diabetes.
357,Habitat for Humanity International,"Seeking to put Godâ€™s love into action, Habitat for Humanity brings people together to build homes, communities and hope."
358,In Touch Ministries,To lead people worldwide into a growing relationship with Jesus Christ and to strengthen the local church.
359,Cleveland Clinic,"To provide better care of the sick, investigation into their problems, and further education of those who serve."
360,The U.S. Fund for UNICEF,The U.S. Fund for UNICEF fights for the survival and development of the worldâ€™s most vulnerable children and protects their basic human rights.
361,Leukemia & Lymphoma Society,"Cure leukemia, lymphoma, Hodgkinâ€™s disease and myeloma, and improve the quality of life of patients and their families."
362,Teach for America,Growing the movement of leaders who work to ensure that kids growing up in poverty get an excellent education.
363,Save the Children,To inspire breakthroughs in the way the world treats children and to achieve immediate and lasting change in their lives.
364,Ducks Unlimited,"Ducks Unlimited conserves, restores, and manages wetlands and associated habitats for North Americaâ€™s waterfowl. These habitats also benefit other wildlife and people."
365,Make-A-Wish,"We grant the wishes of children with life-threatening medical conditions to enrich the human experience with hope, strength and joy."
366,American Red Cross,"American Red Cross prevents and alleviates human suffering in the face of emergencies by mobilizing the power of volunteers and the generosity of donors.,We mobilize people and resources to drive research for a cure and to address the challenges of everyone affected by MS."
367,Doctors without Boarders (MÃ©decins Sans FrontiÃ¨res),"Doctors without Borders (MÃ©decins Sans FrontiÃ¨res) works in nearly 70 countries providing medical aid to those most in need regardless of their race, religion, or political affiliation."
368,Feeding America,To feed Americaâ€™s hungry through a nationwide network of member food banks and engage our country in the fight to end hunger.
369,Audubon,"To conserve and restore natural ecosystems, focusing on birds, other wildlife, and their habitats for the benefit of humanity and the earthâ€™s biological diversity."
370,Mayo Clinic,"To inspire hope and contribute to health and well-being by providing the best care to every patient through integrated clinical practice, education and research."
371,AARP,"To enhance quality of life for all as we age. We lead positive social change and deliver value to members through information, advocacy and service."
372,Boy Scout of America,To prepare young people to make ethical and moral choices over their lifetimes by instilling in them the values of the Scout Oath and Law.
373,NPR,"To work in partnership with member stations to create a more informed public â€“ one challenged and invigorated by a deeper understanding and appreciation of events, ideas and cultures."
374,Nonprofit Finance Fund (NFF),"NFFâ€™s mission is to serve as a development finance institution for nonprofit organizations, working to fill their overall need for capital through financing and advisory services. NFF supports its nonprofit clientsâ€™ multi-faceted contributions to communities, advances community and economic development goals, and works to fill the overall need for capitalization of organizations in this sector."
375,American Antigravity,"The mission of the American Antigravity Corporation is to provide online scientific and educational material and support to the scientific community and general public, relating to aerospace, renewable energy, and other scientific disciplines. American Antigravity fosters learning and academic excellence by working with scientists, educators, and inventors to create a safe, fulfilling, and academically enriching environment for breakthrough science."
376,Springboard,Our mission is simple: To offer education on the wise use of credit.
377,"Amputee Resource Foundation of America, Inc.","It is our mission to disseminate timely and useful information, to perform charitable services, and to conduct research to enhance productivity and quality of life for amputees in America."
378,Charles A. and Anne Morrow Lindbergh Foundation,"Since its formation, the mission of the Foundation has been to improve the quality of life through a balance between technology and nature."
379,Initiative Foundation,The Initiative Foundationâ€™s mission is to unlock the potential of the people of central Minnesota to build and sustain healthy communities.
380,Minneapolis Heart Institute Foundation,The Minneapolis Heart Institute Foundation seeks to improve cardiovascular health through education and clinical research.
381,MCF,To strengthen and expand philanthropy.
382,The Saint Paul Foundation,"Our mission is to actively serve the people of the East Metro area by building permanent charitable capital, making philanthropic grants, and providing services that contribute to the health and vitality of the community."
383,American Experiment,"American Experiment, a nonpartisan think tank, gives voice to conservative and free market ideas and spotlights their importance in tackling the most difficult issues facing Minnesota and our nation."
384,Legal Aid of NE Minnesota,"To provide high-quality, compassionate and comprehensive legal services to as many low-income persons as possible."
385,MAP,"Our purpose is to build the capacity of nonprofit organizations to achieve mission-driven results. Since 1979, we have provided quality, affordable management consulting and board recruitment services to thousands of nonprofit groups. MAP for Nonprofits primarily works with nonprofit organizations in the Greater Twin Cities Metropolitan Area of Minneapolis and St. Paul, Minnesota."
386,Minnesota Land Trust,The Minnesota Land Trust permanently protects the lands and waters that define our communities and enrich our quality of life.
387,NAHA,"The goal of the Norwegian-American Historical Association (NAHA) is to locate, collect, preserve and interpret the Norwegian-American part of this whole with accuracy, integrity, and liveliness. In doing so, Norwegian Americans will have an identifiable position in Americaâ€™s past, present, and future."
388,Second Harvest Heartland,The mission of Second Harvest Heartland is to fight hunger through community partnerships.
389,YMCA of Metropolitan Minneapolis,"The YMCA of Greater Saint Paul practices Christian values by providing opportunities for everyone to build strong kids, strong families, and strong communities. The mission of the YMCA of Metropolitan Minneapolis is to develop the total person-spirit, mind and body-through character-development programs that build strong kids, strong families, and strong communities."
390,CTS,The mission of the Connecticut Association of Nonprofits is to support and strengthen nonprofit organizations in building and sustaining healthy communities in Connecticut.
391,SAVE,"SAVEâ€™s Mission is to prevent suicide through public awareness and education, eliminate stigma and serve as a resource to those touched by suicide."
392,Path,Empowering children and families to achieve lifelong successes.
393,PACER,"The mission of PACER Center is to expand opportunities and enhance the quality of life of children and young adults with disabilities and their families, based on the concept of parents helping parents."
394,Metropolitan Area Agency on Aging,"In partnerships with public and private organizations, MAAA helps elders age successfully. It does this by building community capacity, advocating for aging issues, maximizing service effectiveness and linking people with information."
395,"Junior League of Saint Paul, Inc.","The Junior League of Saint Paul, Inc. is an organization of women committed to promoting volunteerism, developing the potential of women, and improving communities through the effective action and leadership of trained volunteers. Its purpose is exclusively educational and charitable."
396,Good in the Hood,"Good in the â€˜Hood exists to do all the good we can, in all the ways we can, in all the places we can, at all the times we can, to all the people we can, as long as we ever can."
397,Prevent Child Abuse,"Our mission is to prevent child abuse and neglect by promoting positive parenting, healthy families, and homes where children are valued and loved."
398,Famly Institute for Creative Well-Being,"The mission of the Family Institute for Creative Well-Being is to enhance the emotional, social, and spiritual health of families who have members with disabilities or chronic illnesses though therapeutic use of the creative arts."
399,Community Volunteer Service,"Connecting people, enriching lives."
400,Chrysalis,To empower women and their families to initiate personal and social change.
401,Childrenâ€™s & Home Society Family Service,"Our Mission is â€“ to help children thrive and to build, strengthen and sustain individual family and community life."
402,The Freshwater Society,Mission Statement â€“ The Freshwater Society is dedicated to promoting the protection and rational management of all freshwater resources.
403,E-quip Africa,The mission of E-quip Africa is to collect personal computers in the United States and place them in schools in the West African country of Ghana.
404,The Bakken Library and Museum,"The Bakken is a center for education and learning that furthers the understanding of the history, cultural context, and applications of electricity and magnetism in the life sciences and their benefits to contemporary society."
405,Global Rights,"Global Rights is a human rights advocacy group that partners with local activists to challenge injustice and amplify new voices within the global discourse. With offices in countries around the world, we help local activists create just societies through proven strategies for effecting change."
406,Community Heathcare,Our mission is to increase access to comprehensive primary healthcare to the medically uninsured and underserved.
407,Presidential Classroom,Our mission is to prepare young leaders for responsible citizenship and provide outstanding high school students the chance to explore the political process firsthand.
408,"Agricultural Missions, Inc.",To work in partnership with people of faith and conscience around the world to end poverty and injustice that affect rural communities.
409,Childrenâ€™s Rights,"Childrenâ€™s Rightsâ€™ mission is to promote and protect the right of children who are abused and neglected to grow up in permanent, loving families. By creating beneficial and lasting change in child welfare systems, we ensure that children who are dependent on these systems stay safe, receive quality care and services, and return to their own families safely or find adoptive families so that they can have healthy childhoods that lead to productive adult lives."
410,Watts of Love,Watts of Love is a global solar lighting nonprofit bringing people the power to raise themselves out of the darkness of poverty.
411,SouthWest,"Dedication to the highest quality of Customer Service delivered with a sense of warmth, friendliness, individual pride, and Company Spirit."
412,Hyatt,To provide authentic hospitality by making a difference in the lives of the people we touch every day.
413,TripAdvisor,To help people around the world plan and have the perfect trip.
414,Virgin America,"Virgin America is a California-based airline that is on a mission to make flying good again, with brand new planes, attractive fares, top-notch service, and a host of fun, innovative amenities that are reinventing domestic air travel."
415,Fairmont Hotels & Resorts,Turning moments into memories for our guests.
416,Hilton Worldwide,"To be the preeminent global hospitality company â€“ the first choice of guests, team members, and owners alike."
417,Virgin Atlantic,To embrace the human spirit and let it fly.
418,NATUREAIR,"To offer travelers a reliable, innovative and fun airline to travel in Central America."
419,MGM Mirage,"MGM MIRAGE (NYSE: MGM), one of the worldâ€™s leading and most respected hotel and gaming companies, owns and operates 24 properties located in Nevada, Mississippi and Michigan, and has investments in four other properties in Nevada, New Jersey, Illinois and the United Kingdom. MGM MIRAGE has also announced plans to develop Project CityCenter, a multi-billion dollar mixed-use urban development project in the heart of Las Vegas, and has a 50 percent interest in MGM Grand Macau, a development project in Macau S.A.R. MGM MIRAGE supports responsible gaming and has implemented the American Gaming Associationâ€™s Code of Conduct for Responsible Gaming at its properties. MGM MIRAGE also has been the recipient of numerous awards and recognitions for its industry-leading Diversity Initiative and its community philanthropy programs. For more information about MGM MIRAGE, please visit the companyâ€™s website at www.mgmmirage.com."
420,NWA,"Workforce diversity gives us access to a world of different ideas and perspectives. Northwest Airlines is committed to maintaining a corporate culture where men and women of all ages, races, physical abilities, preferences and backgrounds are treated with dignity and respect. At Northwest Airlines we recognize that when diversity is valued and respected the results are improved service, customer satisfaction and a positive community image. We believe our employees make a world of difference and work to maintain an environment where diversity and inclusion is a critical component of our success. Our Diversity Vision To build a high performing environment where individual differences and contributions of employees, customers and business partners are respected and valued, the result of which is a business organization where fairness, trust and integrity govern relationships and the way we do business."
421,Ritz-Carlton,"The Credo: The Ritz-Carlton Hotel is a place where the genuine care and comfort of our guests is our highest mission.,We pledge to provide the finest personal service and facilities for our guests who will always enjoy a warm, relaxed, yet refined ambience.,The Ritz-Carlton experience enlivens the senses, instills well-being, and fulfills even the unexpressed wishes and needs of our guests.,ProsperForms â€” set up a form and start receiving submissions from your colleagues in minutes. 100+ forms available: reports, logs, requests, etc. or build your own. View and manage submissions on Timeline and Dashboard screens, generate PDF reports. Get Started,Motto: At The Ritz-Carlton Hotel Company, L.L.C., â€œWe are ladies and gentlemen serving ladies and gentlemen.â€ This motto exemplifies the anticipatory service provided by all staff members."
422,"1st Century Bancshares, Inc","1st Century Bank is committed to instant attention, supported by state-of-the-art technologies. Flexibility, whenever possible, to accommodate the unique needs of each customer."
423,1st Constitution Bancorp (NJ),Our mission is to enhance shareholder value by making each of our operating units a driving force towards providing shareholders with a suitable rate of return on their investment.
424,1st Source Corporation,"Our Mission â€“ to help individuals, institutions, businesses and communities achieve security, build wealth and realize their dreams."
425,"1st United Bancorp, Inc. (FL)",To Put You 1st.
426,3X Inverse Gold ETN Velocityshares,VelocitySharesÂ® is dedicated to providing sophisticated investors with unique solutions for portfolio and trading risk management.
427,Access National Corporation,Our mission is to provide progressive and superior financial solutions to the communities that we serve.
428,ACNB Corporation,"We are committed to serving the evolving needs of customers in an ever-changing financial services marketplace, as well as continuing our role as an active and concerned corporate citizen in the communities we serve."
429,AdvisorShares Sunrise Global Multi-Strategy ETF,"The mission of AdvisorShares is to innovate not only our products but also how we service and communicate to our shareholders. We intend to provide transparency to ensure products are appropriately valued and traded in the market, and offer a diversified selection of investment strategies to facilitate what we believe to be true diversification for our shareholders."
430,"Alliance Bancorp, Inc. of Pennsylvania",Alliance Bank is dedicated to providing the highest quality community banking services in an atmosphere that fosters personal and institutional integrity.
431,Ameriana Bancorp,"Our main mission was to provide home loans to the residents and companies of East Central Indiana. Today, Ameriana offices are located throughout Central Indiana, and each one of them is fully committed to being a true community bank."
432,America First Credit Union,Our mission is to provide personal financial services of a superior quality to the members/owners
433,American Campus Communities,"Our mission is to be the premier provider of quality student housing communities and services through a unique understanding and unrelenting commitment to students, parents, educational institutions and investors. Our people are our strength, achieving success through a dedication to excellence and integrity."
434,American Capital Agency Corp.,"The principal objective of AGNC is to preserve our net asset value (also referred to as .net book value., .NAV. and .stockholders. equity.) while generating attractive risk-adjusted returns for distribution to our stockholders through regular quarterly dividends from the combination of our net interest income and net realized gains and losses on our investments and hedging activities."
435,American Housing REIT,"AHR is focused on the acquisition, leasing and management of single-family properties for rental income and long-term capital appreciation."
436,"American Realty Capital Healthcare Trust, Inc.","Our primary focus is on medical office buildings and other outpatient facilities, as well as assisted living and memory care facilities, which will continue to experience increasing demand due to the growing population of Americans over the age of 85."
437,Ameriprise Financial Inc.,To help people feel confident about their financial future.
438,Ameris Bancorp,The mission of Ameris Bank is to be a major financial service provider through empowered employees creating a positive community impact and delivering a competitive shareholder return.
439,Ames National Corporation,"Ames National Corporation is a growth oriented financial services holding company providing leadership, counsel and support to its affiliates with uniform policies and procedures. It shall maintain a strong capital base and achieve superior performance."
440,Anchor Bancorp,"At AnchorBank, our goal is to make life simpler and more secure for individuals, families and business owners."
441,Ares Capital Corporation,Our mission is to create long-term value for our shareholders through an attractive dividend(1) and solid investment performance across economic cycles.
442,Arrowhead Credit Union,"Arrowhead Credit Union is committed to providing quality financial services to the community sphere, which includes Southern California. We are dedicated to serving the membersâ€™ best interest, to provide value relative to cost, and to earn their trust and confidence by operating in an ethical and financially sound manner."
443,Astoria Financial Corp.,To deliver great personal service and the best financial products to our customers â€“ and the local communities we serve.
444,Atlanticus Holdings Corporation,Atlanticus Holdings Corporation (â€œAtlanticusâ€) is a financial holding company with investments primarily in companies focused on providing financial services. Our subsidiaries offer a broad array of financial products and services.
445,Aviv REIT Inc.,"Aviv is committed to long term relationships, outstanding customer service, disciplined investing and repeat business. We strive to distinguish ourselves with honesty, integrity and trust and align ourselves with people who share these values."
446,Banco Bilbao Vizcaya Argentaria S.A.,"BBVA is a multinational group providing financial services in over 31 countries and to 50 million customers throughout the world. The banking model used by BBVA is based on four pillars that makes us different.,A diversified and balanced portfolio model, in terms of geographies, businesses and customers, being the leader in the franchises where we operate.,Customer-centric business model, with distribution models that are leaders in efficiency and highly leveraged on innovation and technology.,Management model characterized by two principles inherent in BBVA. Prudence and foresight.,A governance model based on integrity and transparency, which seeks to generate maximum shareholder value.,The combination of these four pillars generate two sources of competitive advantage: recurrent earnings in any environment and a differential structural strength."
447,Banco de Chile,We are a leading corporation with a prestigious business tradition. Our purpose is to provide financial services of excellence with creative and effective solutions for each client segment in order to ensuring permanent value growth for our shareholders.
448,BancorpSouth Inc.,"To be the leading financial services company in our markets, close to the customer and focused on the communities we serve. To maximize shareholder value through consistently strong earnings performance, strong market share, and maintenance of high quality assets. To continuously transform BancorpSouth into a more diverse and comprehensive financial services company. To be our customerâ€™s provider of choice for financial services, a multi-faceted relationship providing value to both the customer and our company. To provide an inspiring career opportunity for dedicated professionals."
449,Bank of America Corp.,"Connecting people to what matters most through lending, investing and giving."
450,Bank of Marin Bancorp,"Be the premier community and business bank in the North Bay by building long-term relationships based on trust, expertise, and accountability, and by helping our customers, communities, employees and shareholders prosper."
451,Bank of Nova Scotia,To be the best at helping clients become financially better off by providing relevant solutions to their unique needs.
452,Bank of South Carolina Corp.,"The Bankâ€™s mission is to be a full service financial institution specializing in personal service, responsiveness, and attention to detail in meeting the needs of our customers."
453,"Bank of the James Financial Group, Inc.",Bank of the James will be the pre-eminent financial institution through superior customer service.
454,Banner Corporation,"Banner Bank is a dynamic full-service Northwest financial institution, operating safely and profitably within a framework of shared integrity. Working as a team, we will deliver superior products and services to our valued clients. We will emphasize strong client relationships and a high level of community involvement. We will provide a culture which attracts, empowers, rewards and provides growth opportunities for employees. Our success will build long-term shareholder value."
455,Barclays PLC,"To be an innovative, customerâ€“focused Group that delivers superb products and services, ensures excellent careers for our people and contributes positively to the communities in which we live and work."
456,BB & T Corp.,"To make the world a better place to live by helping our Clients achieve economic success and financial security. Creating a place where our Employees can learn, grow and be fulfilled in their work. Making the Communities in which we work better places to be. Thereby optimizing the long-term return to our Shareholders, while providing a safe and sound investment."
457,"BBCN Bancorp, Inc.","Our mission is to be a strong banking partner to middle market and small businesses, their owners and our communities by providing high-quality financial products and services."
458,BCU,"We will care for our Membersâ€™ needs with efficiency, integrity and interest. We will provide the communities in which we operate access to an innovative, relevant and integrated product range. These products and services will be provided in a mutually beneficial cost structure that encourages growth and development both for Members and the Credit Union."
459,"Beneficial Mutual Bancorp, Inc.","As a corporate citizen in the greater Philadelphia and Southern New Jersey region, Beneficial Bank and its employees share a commitment to utilize our resources and skills to assist our neighbors. Together, we can foster an environment that helps our community and local residents achieve their goals. Beneficial works closely with community-based organizations and local governments in developing initiatives to assist low- to moderate-income neighborhoods and families. It is our mission to meet the credit needs of our community while maintaining sound non-discriminatory standards."
460,BNC Bancorp,"At Bank of North Carolina, our mission is to provide the best banking experience possible by anticipating your needs, and exceeding your expectations while assisting you in achieving your short-term and longâ€“term financial goals. We are committed to providing a challenging and rewarding work environment for our employees, while maintaining solid financial strength to ensure superior returns for our shareholders."
461,"BofI Holding, Inc.","Our mission is to establish a highly efficient, customer focused, technologically sophisticated, innovative and resilient branchless bank that provides the best environment for experienced leaders to develop a diversified portfolio of lending, fee generation, and deposit businesses that deliver distinctive value to each of our customers within a risk conscious corporate structure that provides best-in-class operational and risk management support, strategic consulting, and financial management capabilities."
462,BOK Financial Corporation,"BOK Financial is dedicated to creating value for its clients, shareholders, employees and communities."
463,"Bridge Bancorp, Inc.",To support local Suffolk County businesses and individuals and help them grow and thrive in the neighborhoods where they live and work.
464,Broadway Financial Corporation,"The Bankâ€™s mission is to serve the real estate, business and financial needs of customers in underserved urban communities with a commitment to excellent service, profitability and sustained growth. It also has a broader commitment to employ, train and mentor community residents, to contract for services with community businesses, and to encourage its management and staff to serve as volunteers in civic, community and religious organizations."
465,"BSB Bancorp, Inc.","Create the most admired community bank that is growing in a prudent and profitable way. We will achieve this through an unwavering commitment to highly satisfied customers, engaged colleagues and the advancement of our community."
466,BTB REIT,Developing sustainable relationships for your commercial real estate needs and investments.
467,Cache Logistics Trust,"To provide Unitholders with regular and stable distributions, and long-term sustainable growth in Distribution per Unit and Net Asset Value, while maintaining an appropriate capital structure."
468,Camden Property Trust,"Guided by our Values, we are committed to being the best multifamily company by providing Living Excellence to our customers."
469,Canadian Imperial Bank of Commerce,"Our mission is to fullâ€“fill the commitments we have made to each of our stakeholders:,Help our clients achieve what matters to them Create an environment where all employees can excel Make a real difference in our communities Generate strong total returns for our shareholders."
470,Capital Bank Financial Corp.,Capital Bankâ€™s mission is to provide customers with value-added financial solutions and in so doing generate strong and consistent returns for our shareholders.
471,Carolina Collegiate Federal Credit Union,Carolina Collegiate Federal Credit Union is a member-owned and controlled financial services organization. Our mission is to meet membersâ€™ financial needs through quality service at the best value while maintaining financial stability.
472,Cascade Bancorp,Our Mission: We are dedicated to delivering the best in banking for the financial well-being of our customers and shareholders.
473,CBIZ/Mayer Hoffman McCan,"Our mission is to help our clients prosper by providing them with a wide array of professional business and individual services, products, and solutions to help them better manage their finances and employees. We endeavor to provide superior client service and build long-term client relationships."
474,"CenterState Banks, Inc.","At CenterState Bank, our mission is to meet the desires of our customers. As financial service professionals entrusted with sensitive financial information, we respect the privacy of our customers and are committed to treating customer information responsibly."
475,Central Pacific Financial Corp.,The CPB Foundationâ€™s mission is to help strengthen Hawaiiâ€™s communities by creating opportunities for our youth and fostering social progress.
476,"Century Bancorp, Inc.",Provide best in class financial services to our marketplace. Achieve a superior return on equity for our shareholders. Utilize best practices to create a challenging and rewarding work environment for our Associates and their families.
477,CFCU Community Credit Union,"To provide the highest level of personal financial services in a friendly, professional manner"
478,"Chandler Financial Group, Inc.","Our Mission is to help Build, Protect and Preserve the Wealth of Our Clients."
479,Charles Schwab,To champion every clientâ€™s goals with passion and integrity.
480,Charles Schwab Corp.,"To empower individual investors to take control of their financial lives, free from the high costs and conflicts of traditional brokerage firms."
481,Citigroup,"Our goal for Citigroup is to be the most respected global financial services company. Like any other public company, weâ€™re obligated to deliver profits and growth to our shareholders. Of equal importance is to deliver those profits and generate growth responsibly."
482,Citizens & Northern Corp,C&Nâ€™s mission to enhance the lives of our neighbors in the communities we serve.
483,Citizens First Corporation,"Citizens First is the provider of quality financial services to people, businesses and organizations while developing lasting partnerships with each of our customers through responsive, flexible and distinguished personal service."
484,City National Corp.,"City Nationalâ€™s mission is to provide the ultimate banking experience for successful entrepreneurs and professionals through an uncommon dedication to extraordinary service, proactive advice and total financial solutions."
485,CLI Capital and Church Loans & Investments Trust,CLI Capital is a diversified Real Estate Investment Trust engaged in commercial mortgage lending and related investments. The Trustâ€™s mission is to provide its customers with innovative financing solutions while delivering excellent risk-adjusted returns to its shareholders.
486,"CMS Bancorp, Inc.",Our mission is to be a well managed community-oriented financial institution working to provide quality products and services to the retail consumer and small business customers through our branch network.
487,Comerica Inc.,"Comerica focuses on relationships, and helping people and businesses be successful."
488,Commerce Bank,To be the preferred provider of targeted financial service in our communities based on strong customer relationships.
489,"Community Bank Shares of Indiana, Inc.",The mission statement of Community Bank Shares reflects its purpose: â€œAchieving financial goals through exceptional people and exceptional service.â€
490,Community Credit Union,"Community Credit Union is a member owned organization whose purpose is to provide convenient, quality, personalized service while maintaining financial stability. We seek to provide ultimate member satisfaction. Operating for over 55 years, Community Credit Union has expanded its product and service offerings to include more than just your everyday necessities. We seek to be the best choice for all your financial needs. Community Credit Union opens its field of membership to persons employed, residing or attending school within Androscoggin County, including members of their immediate family. And always remember, once a member, always a member."
491,CorpBanca S.A.,"We are a state-of-the-art bank committed to satisfy our clientsâ€™ international financial needs, maintaining highest standards of quality service and personalized attention, operating from the worldâ€™s financial capital."
492,Credit Suisse Group,"Our mission is to set new standards in partnering with our clients and providing them with innovative, integrated financial solutions."
493,Crowe Horwath International,"Germany: Our clientsâ€™ success is our ultimate ambition.,China: Serve our country and society professionally, and grow our people successfully.,Peru: Provide reliable business solutions, with high added value, tailored to the client requirements."
494,Cullen/Frost Bankers Inc.,"Frost provides our customers with the resources, information and counsel they need to meet their financial goals and offers a broad range of financial products and services, including: personal and business banking investments, trust, retirement and financial management services property and casualty and employee benefits insurance."
495,"We serve customers through more than 100 financial centers in the Austin, Corpus Christi, Dallas, Fort Worth, Houston, Rio Grande Valley and San Antonio regions.",
496,Dakota REIT,We offer diversification to our investors by acquiring and owning real estate that offers value and long-term growth.
497,Deloitte US,The professional services firm that consistently exceeds the expectations of our clients and our people.
498,Deutsche Bank AG,"Through our economic success and competitive international presence, we create value for our shareholders, our clients, our employees and society at large while up holding stringent environmental and social norms to support a sustainable future."
499,"Diamond Hill Investment Group, Inc.","Our Mission At Diamond Hill, we serve our clients by providing investment strategies that deliver lasting value through a shared commitment to our intrinsic value-based investment philosophy, long-term perspective, disciplined approach and alignment with our clientsâ€™ interests."
500,Doral Financial Corp.,Doral Financial Corporationâ€™s mission is to serve a diverse and growing market in Puerto Rico and the U.S. mainland with superior service and competitive financial products that facilitate: home ownership and residential and commercial real estate development through our mortgage banking units and retail banking subsidiaries
